"date","month","year","precip_in","temp_F","temp_F_12mo","spi3","spi12"
1895-01-01,1,1895,4.03,33.5,NA,NA,NA
1895-02-01,2,1895,1.13,33.18,NA,NA,NA
1895-03-01,3,1895,0.34,42,NA,0.66,NA
1895-04-01,4,1895,0.1,50.13,NA,-1.17,NA
1895-05-01,5,1895,0.96,58.18,NA,-0.9,NA
1895-06-01,6,1895,0.39,64.76,NA,-0.36,NA
1895-07-01,7,1895,3.93,68.85,NA,0.79,NA
1895-08-01,8,1895,3.14,67.9,NA,0.35,NA
1895-09-01,9,1895,1.66,63.23,NA,0.27,NA
1895-10-01,10,1895,1.49,50.95,NA,-0.13,NA
1895-11-01,11,1895,3.08,39.04,NA,0.85,NA
1895-12-01,12,1895,0.81,32.14,50.32,0.64,0.6
1896-01-01,1,1896,0.5,36.95,50.61,0.2,-0.29
1896-02-01,2,1896,0.28,36.31,50.87,-1.46,-0.48
1896-03-01,3,1896,0.74,44.01,51.04,-1.57,-0.36
1896-04-01,4,1896,0.38,48.51,50.9,-1.34,-0.29
1896-05-01,5,1896,0.02,58.46,50.93,-1.2,-0.5
1896-06-01,6,1896,0.39,69.56,51.33,-1.31,-0.52
1896-07-01,7,1896,3.44,68.49,51.3,-0.22,-0.66
1896-08-01,8,1896,3.76,68.32,51.33,0.42,-0.54
1896-09-01,9,1896,2.46,62.31,51.25,0.75,-0.33
1896-10-01,10,1896,5.19,50.11,51.19,2.02,0.61
1896-11-01,11,1896,1.01,42.43,51.47,1.74,0.09
1896-12-01,12,1896,0.71,37.54,51.92,1.18,0.06
1897-01-01,1,1897,3.29,31.83,51.49,0.44,0.73
1897-02-01,2,1897,0.92,35.25,51.4,0.33,0.83
1897-03-01,3,1897,1.44,38.63,50.95,0.72,0.94
1897-04-01,4,1897,0.45,50.37,51.11,-0.23,0.95
1897-05-01,5,1897,0.96,59.55,51.2,0.28,1.12
1897-06-01,6,1897,0.5,65.5,50.86,0.14,1.16
1897-07-01,7,1897,2.67,68.4,50.85,0,1.04
1897-08-01,8,1897,3.31,67.49,50.78,-0.24,1
1897-09-01,9,1897,4.28,61.88,50.75,1.04,1.39
1897-10-01,10,1897,1.78,50.88,50.81,1.26,0.68
1897-11-01,11,1897,0.02,44.38,50.97,0.79,0.44
1897-12-01,12,1897,0.93,33.35,50.63,-0.62,0.48
1898-01-01,1,1898,2.73,29.15,50.4,-0.11,0.33
1898-02-01,2,1898,0.28,40.53,50.84,-0.07,0.17
1898-03-01,3,1898,0.66,40.25,50.98,-0.14,-0.01
1898-04-01,4,1898,0.83,52.71,51.17,-0.99,0.08
1898-05-01,5,1898,0.55,54.9,50.79,-0.31,-0.01
1898-06-01,6,1898,1.19,65.36,50.78,0.72,0.14
1898-07-01,7,1898,5.02,69.13,50.84,1.67,0.67
1898-08-01,8,1898,3.66,68.51,50.92,1.6,0.78
1898-09-01,9,1898,0.96,61.45,50.88,0.74,0
1898-10-01,10,1898,0.09,51.72,50.95,-1.03,-0.47
1898-11-01,11,1898,0.82,40.42,50.62,-1.68,-0.25
1898-12-01,12,1898,1.82,29.7,50.32,-0.62,-0.01
1899-01-01,1,1899,0.95,31.79,50.54,-0.15,-0.48
1899-02-01,2,1899,0.53,34.7,50.05,-0.38,-0.38
1899-03-01,3,1899,0.47,42.81,50.27,-1.2,-0.4
1899-04-01,4,1899,0.19,50.18,50.06,-1.56,-0.56
1899-05-01,5,1899,0,53.94,49.98,-1.92,-0.68
1899-06-01,6,1899,0.89,64.62,49.91,-0.84,-0.78
1899-07-01,7,1899,5.67,68.89,49.89,1.56,-0.63
1899-08-01,8,1899,1.21,67.41,49.8,0.52,-1.39
1899-09-01,9,1899,1.39,63.54,49.98,0.02,-1.26
1899-10-01,10,1899,1.48,50.69,49.89,-1.45,-0.91
1899-11-01,11,1899,0.86,42.93,50.1,-0.34,-0.9
1899-12-01,12,1899,0.4,36.1,50.63,-0.61,-1.3
1900-01-01,1,1900,0.32,38.93,51.23,-1.37,-1.48
1900-02-01,2,1900,0.48,37.84,51.49,-1.82,-1.4
1900-03-01,3,1900,0.81,46,51.76,-1.49,-1.24
1900-04-01,4,1900,2.28,44.43,51.28,0.2,-0.67
1900-05-01,5,1900,0.44,58.28,51.64,0.7,-0.55
1900-06-01,6,1900,0.19,67.92,51.91,0.98,-0.74
1900-07-01,7,1900,2.01,71.17,52.1,-1.29,-1.84
1900-08-01,8,1900,1.85,67.53,52.11,-2.01,-1.74
1900-09-01,9,1900,3.61,60.23,51.84,-0.43,-1.05
1900-10-01,10,1900,1.34,52.43,51.98,0.13,-1.16
1900-11-01,11,1900,2.2,44.07,52.08,1.21,-0.76
1900-12-01,12,1900,0.13,36.65,52.12,-0.11,-0.81
1901-01-01,1,1901,1.89,36.29,51.9,0.13,-0.37
1901-02-01,2,1901,2.13,37.58,51.88,0.02,0.06
1901-03-01,3,1901,0.86,41.05,51.47,0.41,0.08
1901-04-01,4,1901,0.52,47.17,51.7,0.17,-0.33
1901-05-01,5,1901,1.11,56.84,51.58,0.04,-0.17
1901-06-01,6,1901,0.19,64.24,51.27,0.05,-0.18
1901-07-01,7,1901,3.74,71.27,51.28,0.64,0.23
1901-08-01,8,1901,2.79,69.64,51.45,-0.09,0.46
1901-09-01,9,1901,0.98,63.17,51.7,-0.41,-0.19
1901-10-01,10,1901,1.64,53.13,51.76,-0.61,-0.12
1901-11-01,11,1901,0.92,45.27,51.86,-0.46,-0.47
1901-12-01,12,1901,0.27,36.76,51.87,-0.56,-0.42
1902-01-01,1,1902,1.12,36.15,51.85,-0.84,-0.63
1902-02-01,2,1902,0.65,38.74,51.95,-1.12,-0.99
1902-03-01,3,1902,0.76,39.16,51.79,-0.79,-0.97
1902-04-01,4,1902,0.06,51.3,52.14,-1.27,-1.08
1902-05-01,5,1902,0.99,55.89,52.06,-0.5,-1.09
1902-06-01,6,1902,0.16,68.28,52.4,-0.66,-1.13
1902-07-01,7,1902,1.44,67.75,52.1,-1.34,-1.87
1902-08-01,8,1902,3.46,67.96,51.96,-1.21,-1.76
1902-09-01,9,1902,2.05,60.7,51.76,-0.74,-1.42
1902-10-01,10,1902,0.38,53,51.75,-0.34,-1.94
1902-11-01,11,1902,2.18,40.66,51.36,0.13,-1.51
1902-12-01,12,1902,2.15,35.55,51.26,0.37,-0.89
1903-01-01,1,1903,0.23,34.92,51.16,0.27,-1.14
1903-02-01,2,1903,1.21,31.37,50.54,-0.23,-0.91
1903-03-01,3,1903,1.33,41.48,50.74,-0.64,-0.72
1903-04-01,4,1903,0.46,48.52,50.51,-0.12,-0.61
1903-05-01,5,1903,0.52,54.94,50.43,-0.09,-0.71
1903-06-01,6,1903,1.91,63.88,50.06,0.97,-0.3
1903-07-01,7,1903,1.29,70.12,50.26,-0.32,-0.35
1903-08-01,8,1903,3.34,68.88,50.34,-0.2,-0.4
1903-09-01,9,1903,2.45,60.96,50.36,-0.66,-0.3
1903-10-01,10,1903,0,49.4,50.06,-0.4,-0.43
1903-11-01,11,1903,0,44.17,50.35,-1.19,-1.07
1903-12-01,12,1903,0.14,35.11,50.31,-4.08,-1.68
1904-01-01,1,1904,0.33,30.83,49.97,-2.74,-1.61
1904-02-01,2,1904,0.44,41.79,50.84,-2.16,-1.75
1904-03-01,3,1904,0.48,46.15,51.23,-1.84,-1.94
1904-04-01,4,1904,0.04,50.7,51.41,-1.85,-2.06
1904-05-01,5,1904,0.51,57.95,51.66,-1.34,-2.03
1904-06-01,6,1904,0.4,66.6,51.89,-1.04,-2.6
1904-07-01,7,1904,2.51,69.46,51.84,-0.57,-2.25
1904-08-01,8,1904,3.73,67.75,51.74,-0.14,-2.24
1904-09-01,9,1904,2.31,61.41,51.78,0.18,-2.3
1904-10-01,10,1904,2.5,51.16,51.92,0.92,-1.55
1904-11-01,11,1904,0.03,41.3,51.69,0.24,-1.54
1904-12-01,12,1904,1.45,35.08,51.68,0.04,-1.09
1905-01-01,1,1905,3.51,36.96,52.19,0.44,-0.19
1905-02-01,2,1905,5.86,36.89,51.79,2.04,1.04
1905-03-01,3,1905,5.24,42.65,51.49,3.14,1.89
1905-04-01,4,1905,3.68,47.26,51.21,3.73,2.48
1905-05-01,5,1905,0.2,55.02,50.96,2.98,2.39
